wheel,station,sector,NSegments,xx,yy,zz,aa,bb,cc
1,4,10,None,2.96E-05,0.01,0.002543496429,1.01E-06,1.46E-06,9.79E-09
1,4,11,68575,7.56E-05,0.01,0.00242873,4.46E-06,8.23E-06,1.29E-08
1,4,12,160239,2.63E-05,0.01,0.00141414,3.55E-07,1.06E-07,1.02E-08
1,4,13,None,2.96E-05,0.01,0.002543496429,1.01E-06,1.46E-06,9.79E-09
1,4,14,None,2.96E-05,0.01,0.002543496429,1.01E-06,1.46E-06,9.79E-09
2,1,1,28167,3.03E-05,0.00194724,0.00127443,1.60E-08,1.82E-08,8.46E-09
2,1,2,14438,9.96E-05,0.00329269,0.0022038,4.81E-08,4.20E-08,2.81E-08
2,1,3,39768,2.14E-05,0.00138686,0.000905287,1.05E-08,1.25E-08,5.37E-09
2,1,4,24155,2.31E-05,0.00278075,0.00179315,1.70E-08,2.13E-08,7.69E-09
2,1,5,41299,2.13E-05,0.00146275,0.000954357,9.99E-09,1.21E-08,4.76E-09
2,1,6,47714,1.59E-05,0.00121008,0.000787727,8.69E-09,1.02E-08,4.22E-09
2,1,7,48492,1.67E-05,0.00125469,0.000820111,8.62E-09,1.03E-08,4.09E-09
2,1,8,35394,1.97E-05,0.00162418,0.00105675,1.10E-08,1.31E-08,5.21E-09
2,1,9,26931,3.78E-05,0.00211854,0.00140222,1.60E-08,2.11E-08,8.52E-09
2,1,10,48232,1.54E-05,0.00120799,0.000783497,8.30E-09,1.01E-08,4.11E-09
2,1,11,38963,1.92E-05,0.00135262,0.000879178,9.70E-09,1.16E-08,4.85E-09
2,1,12,45157,1.87E-05,0.0012856,0.000836747,1.11E-08,1.20E-08,5.82E-09
2,2,1,59466,1.58E-05,0.00101411,0.000927162,1.43E-08,1.24E-08,6.43E-09
2,2,2,42175,2.53E-05,0.00143115,0.00131343,2.15E-08,1.84E-08,9.76E-09
2,2,3,66994,1.29E-05,0.00089862,0.000818878,1.17E-08,1.05E-08,5.30E-09
2,2,4,57881,1.81E-05,0.00112599,0.00102951,1.39E-08,1.33E-08,6.37E-09
2,2,5,49564,1.71E-05,0.00126028,0.00114266,1.58E-08,1.51E-08,7.22E-09
2,2,6,69649,1.20E-05,0.000902959,0.000823112,1.09E-08,1.00E-08,4.77E-09
2,2,8,67394,1.41E-05,0.000937642,0.000857594,1.17E-08,1.08E-08,5.18E-09
2,2,9,57341,1.59E-05,0.00103184,0.000940572,1.42E-08,1.24E-08,6.35E-09
2,2,10,64905,1.30E-05,0.000955353,0.000870055,1.23E-08,1.12E-08,5.55E-09
2,2,11,67233,1.27E-05,0.000905224,0.000827286,1.13E-08,1.03E-08,5.01E-09
2,2,12,71945,1.21E-05,0.000888112,0.000811253,1.09E-08,9.87E-09,4.79E-09
2,3,1,57930,2.60E-05,0.00130535,0.00173341,2.71E-08,2.31E-08,1.00E-08
2,3,2,29638,5.62E-05,0.00264324,0.00350375,5.79E-08,4.57E-08,2.12E-08
2,3,3,65824,2.25E-05,0.00113682,0.0015011,2.32E-08,1.98E-08,8.49E-09
2,3,4,55752,2.56E-05,0.00136595,0.00179455,2.76E-08,2.31E-08,1.00E-08
2,3,5,58431,2.54E-05,0.00124576,0.00164089,2.44E-08,2.12E-08,8.98E-09
2,3,6,65680,2.22E-05,0.00108801,0.00143961,2.40E-08,2.03E-08,8.95E-09
2,3,7,69335,2.21E-05,0.00107427,0.00142879,2.20E-08,1.92E-08,8.32E-09
2,3,8,61400,2.35E-05,0.00118716,0.00156731,2.50E-08,2.15E-08,9.42E-09
2,3,9,60085,2.60E-05,0.00124752,0.0016447,2.56E-08,2.16E-08,9.59E-09
2,3,10,65925,2.24E-05,0.00110025,0.00144761,2.31E-08,1.96E-08,8.65E-09
2,3,11,70072,2.12E-05,0.00106478,0.00141346,2.16E-08,1.84E-08,7.90E-09
2,3,12,61939,2.34E-05,0.00123612,0.00164081,2.46E-08,2.15E-08,9.09E-09
2,4,1,125007,4.45E-05,0.01,0.00260893,5.08E-07,1.59E-07,1.80E-08
2,4,2,72456,0.000114046,0.01,0.00642106,9.27E-07,3.02E-07,4.01E-08
