endcap,station,ring,chamber,NSegments,xx,yy,zz,aa,bb,cc
1,1,2,22,16992,1.57E-05,0.00900548,0.01,3.03E-07,1.60E-07,6.22E-09
1,1,2,23,17136,1.66E-05,0.00925198,0.01,3.03E-07,1.60E-07,6.66E-09
1,1,2,24,17630,1.42E-05,0.00831801,0.01,3.03E-07,1.60E-07,5.88E-09
1,1,2,25,16625,1.73E-05,0.00954989,0.01,3.03E-07,1.60E-07,7.02E-09
1,1,2,26,14724,1.86E-05,0.00934206,0.01,3.03E-07,1.60E-07,6.92E-09
1,1,2,27,14344,2.10E-05,0.0110273,0.01,3.03E-07,1.60E-07,7.71E-09
1,1,2,28,18025,1.49E-05,0.00859262,0.01,3.03E-07,1.60E-07,6.19E-09
1,1,2,29,15460,1.87E-05,0.010533,0.01,3.03E-07,1.60E-07,8.04E-09
1,1,2,30,11884,2.28E-05,0.0108167,0.01,3.03E-07,1.60E-07,7.48E-09
1,1,2,31,13455,2.27E-05,0.0151257,0.01,3.03E-07,1.60E-07,8.54E-09
1,1,2,32,16273,1.60E-05,0.00932763,0.01,3.03E-07,1.60E-07,6.65E-09
1,1,2,33,18298,1.51E-05,0.00896192,0.01,3.03E-07,1.60E-07,6.17E-09
1,1,2,34,14647,1.82E-05,0.0107264,0.01,3.03E-07,1.60E-07,6.64E-09
1,1,2,35,12869,2.57E-05,0.0120024,0.01,3.03E-07,1.60E-07,8.88E-09
1,1,2,36,13587,1.93E-05,0.0109116,0.01,3.03E-07,1.60E-07,7.09E-09
1,1,3,1,3652,0.000490534,2.49E-07,0.011025,4.90E-07,3.03E-07,0.000242234
1,1,3,2,4069,0.000486139,2.73E-07,0.011025,4.90E-07,3.03E-07,0.000228093
1,1,3,3,4579,0.00041098,2.45E-07,0.011025,4.90E-07,3.03E-07,0.000194793
1,1,3,4,4771,0.000440608,2.60E-07,0.011025,4.90E-07,3.03E-07,0.000200066
1,1,3,5,4535,0.000387139,2.07E-07,0.011025,4.90E-07,3.03E-07,0.000187243
1,1,3,6,4488,0.000386108,2.09E-07,0.011025,4.90E-07,3.03E-07,0.0001898
1,1,3,7,5628,0.000294902,1.63E-07,0.011025,4.90E-07,3.03E-07,0.000147436
1,1,3,8,6821,0.000236154,1.27E-07,0.011025,4.90E-07,3.03E-07,0.000117267
1,1,3,9,6545,0.000256981,1.33E-07,0.011025,4.90E-07,3.03E-07,0.000126493
1,1,3,10,4299,0.000393471,1.74E-07,0.011025,4.90E-07,3.03E-07,0.000183505
1,1,3,11,1694,0.000976363,4.26E-07,0.011025,4.90E-07,3.03E-07,0.000463962
1,1,3,12,2080,0.000732897,3.34E-07,0.011025,4.90E-07,3.03E-07,0.000363517
1,1,3,13,6371,0.000256323,1.32E-07,0.011025,4.90E-07,3.03E-07,0.000126225
1,1,3,14,7525,0.000223044,1.10E-07,0.011025,4.90E-07,3.03E-07,0.000107854
1,1,3,15,6904,0.000231215,1.16E-07,0.011025,4.90E-07,3.03E-07,0.000112191
1,1,3,16,5137,0.000319912,1.70E-07,0.011025,4.90E-07,3.03E-07,0.000158538
1,1,3,17,6112,0.000301463,1.66E-07,0.011025,4.90E-07,3.03E-07,0.000150578
1,1,3,18,2437,0.000790488,3.56E-07,0.011025,4.90E-07,3.03E-07,0.000325779
1,1,3,19,3819,0.00046141,2.09E-07,0.011025,4.90E-07,3.03E-07,0.000212737
1,1,3,20,7557,0.000211253,1.09E-07,0.011025,4.90E-07,3.03E-07,0.000103067
1,1,3,21,6861,0.000236443,1.27E-07,0.011025,4.90E-07,3.03E-07,0.000117542
1,1,3,22,7060,0.00022403,1.21E-07,0.011025,4.90E-07,3.03E-07,0.000111457
1,1,3,23,6956,0.000241719,1.20E-07,0.011025,4.90E-07,3.03E-07,0.00011804
1,1,3,24,6298,0.000267523,1.36E-07,0.011025,4.90E-07,3.03E-07,0.000133379
1,1,3,25,5073,0.000356067,2.10E-07,0.011025,4.90E-07,3.03E-07,0.00016996
1,1,3,26,4146,0.000384169,2.08E-07,0.011025,4.90E-07,3.03E-07,0.000192078
1,1,3,27,3600,0.000452993,2.26E-07,0.011025,4.90E-07,3.03E-07,0.000225578
1,1,3,28,7200,0.000222,1.12E-07,0.011025,4.90E-07,3.03E-07,0.000108915
1,1,3,29,6490,0.000254707,1.28E-07,0.011025,4.90E-07,3.03E-07,0.000125634
1,1,3,30,4620,0.000365905,1.96E-07,0.011025,4.90E-07,3.03E-07,0.000182887
1,1,3,31,6470,0.000252904,1.34E-07,0.011025,4.90E-07,3.03E-07,0.000125788
1,1,3,32,7095,0.000231248,1.19E-07,0.011025,4.90E-07,3.03E-07,0.000113847
1,1,3,33,6724,0.000242125,1.21E-07,0.011025,4.90E-07,3.03E-07,0.000117563
1,1,3,34,7463,0.000229768,1.23E-07,0.011025,4.90E-07,3.03E-07,0.000114347
1,1,3,35,6113,0.000302622,1.74E-07,0.011025,4.90E-07,3.03E-07,0.000150523
1,1,3,36,3504,0.000499955,2.35E-07,0.011025,4.90E-07,3.03E-07,0.000245895
1,1,4,1,None,0,0,0,0,0,0
1,1,4,2,35930,7.30E-07,0.000675655,0.01,2.30E-07,1.81E-07,4.95E-10
1,1,4,3,32811,9.72E-07,0.000609765,0.01,2.30E-07,1.81E-07,7.36E-10
1,1,4,4,35517,8.26E-07,0.00115121,0.01,2.30E-07,1.81E-07,5.12E-10
1,1,4,5,29664,1.15E-06,0.000604257,0.01,2.30E-07,1.81E-07,8.49E-10
1,1,4,6,31535,8.47E-07,0.000468691,0.01,2.30E-07,1.81E-07,5.58E-10
1,1,4,7,33887,9.39E-07,0.00121206,0.01,2.30E-07,1.81E-07,6.69E-10
1,1,4,8,34975,7.15E-07,0.000450436,0.01,2.30E-07,1.81E-07,5.11E-10
1,1,4,9,35013,9.20E-07,0.00132958,0.01,2.30E-07,1.81E-07,6.80E-10
1,1,4,10,34127,7.44E-07,0.00046801,0.01,2.30E-07,1.81E-07,5.32E-10
1,1,4,11,29789,1.06E-06,0.00188002,0.01,2.30E-07,1.81E-07,7.77E-10
1,1,4,12,32222,7.48E-07,0.000463275,0.01,2.30E-07,1.81E-07,5.41E-10
1,1,4,13,30116,1.02E-06,0.00159117,0.01,2.30E-07,1.81E-07,1.09E-09
1,1,4,14,32943,7.36E-07,0.000475518,0.01,2.30E-07,1.81E-07,5.25E-10
1,1,4,15,29733,1.06E-06,0.00190775,0.01,2.30E-07,1.81E-07,7.67E-10
1,1,4,16,31790,7.86E-07,0.000501522,0.01,2.30E-07,1.81E-07,5.56E-10
1,1,4,17,27842,1.29E-06,0.00072479,0.01,2.30E-07,1.81E-07,1.27E-09
1,1,4,18,34462,7.09E-07,0.000445866,0.01,2.30E-07,1.81E-07,5.01E-10
1,1,4,19,31087,9.98E-07,0.000624825,0.01,2.30E-07,1.81E-07,7.16E-10
1,1,4,20,33210,7.43E-07,0.00047105,0.01,2.30E-07,1.81E-07,5.18E-10
1,1,4,21,33753,1.06E-06,0.00149959,0.01,2.30E-07,1.81E-07,6.85E-10
1,1,4,22,35087,7.11E-07,0.00149576,0.01,2.30E-07,1.81E-07,5.10E-10
1,1,4,23,31752,9.79E-07,0.000621896,0.01,2.30E-07,1.81E-07,6.89E-10
1,1,4,24,34031,7.28E-07,0.000454703,0.01,2.30E-07,1.81E-07,4.98E-10
1,1,4,25,35024,8.77E-07,0.00149703,0.01,2.30E-07,1.81E-07,6.21E-10
1,1,4,26,35365,7.00E-07,0.00152086,0.01,2.30E-07,1.81E-07,4.94E-10
1,1,4,27,33665,1.01E-06,0.00143258,0.01,2.30E-07,1.81E-07,6.67E-10
